symbol,prev_close,open,high,low,close,settlement,net_change,open_interest,volume,trades,underlying_price,notional_value,premium_traded,underlying,expiry,strike,option_type,spread_bps,return,moneyness,days_to_expiry,implied_volatility,date,bid_ask_spread,relative_spread_bps,effective_spread,realized_spread
OPTSTKAMBER28-AUG-2025CE6800,566.6,475.0,475.0,475.0,475.0,441.2,125.4,85.0,100.0,1.0,7229.0,727500.0,47500.0,AMBER28,AUG,20256800.0,CE,0.0,-0.1616660783621603,0.0003568678172268078,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKAUBANK28-AUG-2025CE880,0.0,0.1,0.1,0.1,0.1,0.1,0.1,15.0,2000.0,2.0,745.25,1760200.0,200.0,AUBANK28,AUG,2025880.0,CE,0.0,inf,0.00036786482911129977,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKAUBANK28-AUG-2025CE860,0.0,0.05,0.05,0.05,0.05,0.0,0.0,72.0,9000.0,9.0,745.25,7740450.0,450.0,AUBANK28,AUG,2025860.0,CE,0.0,inf,0.00036786846080183233,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKAUBANK30-SEP-2025CE840,9.05,1.4,1.4,1.4,1.4,7.85,1.2,4.0,1000.0,1.0,745.25,841400.0,1400.0,AUBANK30,SEP,2025840.0,CE,0.0,-0.8453038674033149,0.0003678720925640722,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKAUBANK30-SEP-2025CE900,2.8,0.35,0.35,0.35,0.35,0.35,2.45,9.0,1000.0,1.0,745.25,900350.0,350.0,AUBANK30,SEP,2025900.0,CE,0.0,-0.875,0.0003678611974924725,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKAUBANK28-AUG-2025PE810,60.15,60.2,60.2,60.2,60.2,64.5,4.35,34.0,1000.0,1.0,745.25,870200.0,60200.0,AUBANK28,AUG,2025810.0,PE,0.0,0.0008312551953450418,0.00036787754034188795,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKAUBANK28-AUG-2025CE900,0.1,0.05,0.05,0.05,0.05,0.0,0.1,84.0,14000.0,14.0,745.25,12600700.0,700.0,AUBANK28,AUG,2025900.0,CE,0.0,-0.5,0.0003678611974924725,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKAUROPHARMA28-AUG-2025CE1280,0.0,0.1,0.1,0.1,0.1,0.0,0.0,24.0,2200.0,4.0,1045.6,2816220.0,220.0,AUROPHARMA28,AUG,20251280.0,CE,0.0,inf,5.1631304292864446e-05,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKAUROPHARMA28-AUG-2025PE1280,212.0,231.0,231.0,231.0,231.0,234.0,22.0,3.0,550.0,1.0,1045.6,831050.0,127050.0,AUROPHARMA28,AUG,20251280.0,PE,0.0,0.08962264150943396,5.1631304292864446e-05,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKAUROPHARMA28-OCT-2025CE1120,45.5,33.6,33.6,33.6,33.6,36.3,9.2,1.0,550.0,1.0,1045.6,634480.0,18480.0,AUROPHARMA28,OCT,20251120.0,CE,0.0,-0.2615384615384615,5.163171222134874e-05,,,2025-08-27,0.0,0.0,0.0,0.0
