DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2023-02-23,2023-02-23,40038.0,40168.9,39597.85,39972.05,39997.3,40001.55,4069575,25,162563804478.75,538600.0,-752750.0,BANKNIFTY,FUTIDX,2023,,
2023-02-22,2023-02-23,40545.0,40584.55,39919.65,40038.4,40001.9,40038.4,4023025,25,161772436403.75,1291350.0,-625150.0,BANKNIFTY,FUTIDX,2023,,
2023-02-21,2023-02-23,40820.0,40985.8,40550.7,40711.2,40737.9,40711.2,4013500,25,163553086422.5,1916500.0,-510575.0,BANKNIFTY,FUTIDX,2023,,
2023-02-20,2023-02-23,41250.15,41317.65,40636.15,40796.05,40794.75,40796.05,3587875,25,147241032713.75,2427075.0,-103725.0,BANKNIFTY,FUTIDX,2023,,
2023-02-17,2023-02-23,41549.95,41574.85,40950.0,41205.55,41205.05,41205.55,5788300,25,238998171903.75,2530800.0,196900.0,BANKNIFTY,FUTIDX,2023,,
2023-02-16,2023-02-23,41977.05,42036.75,41665.0,41735.75,41690.0,41735.75,3157225,25,132183589345.0,2333900.0,78900.0,BANKNIFTY,FUTIDX,2023,,
2023-02-15,2023-02-23,41625.85,41849.9,41522.85,41791.3,41836.9,41791.3,3096975,25,129016025687.5,2255000.0,15875.0,BANKNIFTY,FUTIDX,2023,,
2023-02-14,2023-02-23,41500.15,41788.4,41277.0,41702.45,41705.0,41702.45,3445425,25,143155407020.0,2239125.0,-219775.0,BANKNIFTY,FUTIDX,2023,,
2023-02-13,2023-02-23,41644.85,41733.0,41230.0,41381.9,41358.95,41381.9,2807325,25,116282810580.0,2458900.0,199225.0,BANKNIFTY,FUTIDX,2023,,
2023-02-10,2023-02-23,41510.0,41738.55,41510.0,41648.75,41645.0,41648.75,2335900,25,97278955943.75,2259675.0,-177075.0,BANKNIFTY,FUTIDX,2023,,
2023-02-09,2023-02-23,41600.0,41752.3,41365.0,41716.8,41750.0,41716.8,3733350,25,155113178263.75,2436750.0,11325.0,BANKNIFTY,FUTIDX,2023,,
2023-02-08,2023-02-23,41555.55,41921.35,41520.0,41674.7,41653.55,41674.7,3157300,25,131632266127.5,2425425.0,47500.0,BANKNIFTY,FUTIDX,2023,,
2023-02-07,2023-02-23,41605.3,41749.4,41242.3,41641.8,41640.0,41641.8,4879825,25,202594565241.25,2377925.0,-102625.0,BANKNIFTY,FUTIDX,2023,,
2023-02-06,2023-02-23,41660.05,41863.0,41405.0,41506.9,41485.0,41506.9,3491125,25,145158429367.5,2480550.0,206325.0,BANKNIFTY,FUTIDX,2023,,
2023-02-03,2023-02-23,41255.0,41684.85,40766.0,41638.25,41684.85,41638.25,5269500,25,217450338421.25,2274225.0,-208700.0,BANKNIFTY,FUTIDX,2023,,
2023-02-02,2023-02-23,40289.0,41040.9,40005.55,40937.8,40978.2,40937.8,6285075,25,255279070332.5,2482925.0,105150.0,BANKNIFTY,FUTIDX,2023,,
2023-02-01,2023-02-23,41500.0,42251.95,39718.7,40727.5,40710.0,40727.5,11006225,25,454222230030.0,2377775.0,-289500.0,BANKNIFTY,FUTIDX,2023,,
2023-01-31,2023-02-23,40855.6,41169.35,40470.0,41063.15,41141.0,41063.15,5393300,25,220252286676.25,2667275.0,29225.0,BANKNIFTY,FUTIDX,2023,,
2023-01-30,2023-02-23,40267.75,41129.0,39736.2,40704.45,40751.8,40704.45,7285800,25,294730980137.5,2638050.0,211450.0,BANKNIFTY,FUTIDX,2023,,
2023-01-27,2023-02-23,41739.95,41800.05,40421.55,40661.75,40689.9,40661.75,6170075,25,252555794046.25,2426600.0,514475.0,BANKNIFTY,FUTIDX,2023,,
2023-01-25,2023-02-23,42910.05,42961.85,41755.55,41864.45,41872.95,41864.45,3766825,25,158691631622.5,1912125.0,616225.0,BANKNIFTY,FUTIDX,2023,,
2023-01-24,2023-02-23,43199.65,43249.0,42835.2,42936.8,42915.0,42936.8,1229100,25,52882027971.25,1295900.0,242500.0,BANKNIFTY,FUTIDX,2023,,
2023-04-27,2023-04-27,42820.45,43036.15,42748.05,43003.1,43005.0,43000.85,2132775,25,91489873760.0,533475.0,-596925.0,BANKNIFTY,FUTIDX,2023,,
2023-04-26,2023-04-27,42595.0,42858.25,42450.0,42823.15,42840.0,42823.15,2429750,25,103637567860.0,1130400.0,-433400.0,BANKNIFTY,FUTIDX,2023,,
2023-04-25,2023-04-27,42700.5,42852.0,42615.0,42696.8,42660.0,42696.8,2324525,25,99369863705.0,1563800.0,-656800.0,BANKNIFTY,FUTIDX,2023,,
2023-04-24,2023-04-27,42355.45,42712.5,42280.0,42652.35,42666.0,42652.35,2982025,25,126736454132.5,2220600.0,-67975.0,BANKNIFTY,FUTIDX,2023,,
2023-04-21,2023-04-27,42200.0,42390.65,41961.25,42145.95,42125.5,42145.95,2576675,25,108681348137.5,2288575.0,-94325.0,BANKNIFTY,FUTIDX,2023,,
2023-04-20,2023-04-27,42229.3,42381.7,42126.15,42276.45,42270.0,42276.45,2222750,25,93933371776.25,2382900.0,73675.0,BANKNIFTY,FUTIDX,2023,,
2023-04-19,2023-04-27,42297.5,42375.85,42064.85,42178.4,42179.0,42178.4,2332750,25,98457767983.75,2309225.0,62200.0,BANKNIFTY,FUTIDX,2023,,
2023-04-18,2023-04-27,42449.0,42538.0,42156.0,42335.5,42320.0,42335.5,2726375,25,115517419982.5,2247025.0,-24675.0,BANKNIFTY,FUTIDX,2023,,
2023-04-17,2023-04-27,42639.95,42639.95,41858.25,42343.65,42303.0,42343.65,3285925,25,138603688982.5,2271700.0,35875.0,BANKNIFTY,FUTIDX,2023,,
2023-04-13,2023-04-27,41721.1,42230.0,41580.0,42189.65,42194.4,42189.65,3309950,25,138667269190.0,2235825.0,149600.0,BANKNIFTY,FUTIDX,2023,,
2023-04-12,2023-04-27,41501.2,41665.0,41459.6,41637.75,41644.95,41637.75,1819950,25,75661771303.75,2086225.0,-68900.0,BANKNIFTY,FUTIDX,2023,,
2023-04-11,2023-04-27,41305.0,41517.65,41075.0,41487.2,41500.0,41487.2,3070500,25,127073251688.75,2155125.0,-16425.0,BANKNIFTY,FUTIDX,2023,,
2023-04-10,2023-04-27,41239.6,41239.65,40866.4,40978.2,40952.0,40978.2,2565950,25,105365331908.75,2171550.0,-197500.0,BANKNIFTY,FUTIDX,2023,,
2023-04-06,2023-04-27,41001.0,41425.0,40990.0,41169.65,41176.6,41169.65,3442075,25,141894449922.5,2369050.0,84525.0,BANKNIFTY,FUTIDX,2023,,
2023-04-05,2023-04-27,41125.1,41238.95,40967.0,41142.3,41141.0,41142.3,2909825,25,119592111390.0,2284525.0,-476850.0,BANKNIFTY,FUTIDX,2023,,
2023-04-03,2023-04-27,40899.9,41050.0,40769.9,41013.9,41029.85,41013.9,2892600,25,118351873450.0,2761375.0,-754725.0,BANKNIFTY,FUTIDX,2023,,
2023-03-31,2023-04-27,40497.95,40912.9,40446.0,40833.55,40832.0,40833.55,3970050,25,161718763187.5,3516100.0,-56225.0,BANKNIFTY,FUTIDX,2023,,
2023-03-29,2023-04-27,39949.95,40311.05,39869.85,40221.6,40310.0,40221.6,3049525,25,122293152987.5,3572325.0,729800.0,BANKNIFTY,FUTIDX,2023,,
2023-03-28,2023-04-27,39850.0,39907.85,39657.45,39853.8,39904.9,39853.8,1536800,25,61124556265.0,2842525.0,323650.0,BANKNIFTY,FUTIDX,2023,,
2023-05-25,2023-05-25,43650.0,43750.0,43385.55,43692.35,43680.0,43681.4,2436725,25,106149688740.0,616625.0,-878050.0,BANKNIFTY,FUTIDX,2023,,
2023-05-24,2023-05-25,43825.4,44014.55,43679.15,43719.2,43713.0,43719.2,2465300,25,108063265601.25,1494675.0,-336450.0,BANKNIFTY,FUTIDX,2023,,
2023-05-23,2023-05-25,43953.15,44080.0,43902.0,43981.5,43945.0,43981.5,1798850,25,79156865306.25,1831125.0,-157400.0,BANKNIFTY,FUTIDX,2023,,
2023-05-22,2023-05-25,43989.9,44020.0,43701.2,43922.85,43882.3,43922.85,2573250,25,112886484061.25,1988525.0,14125.0,BANKNIFTY,FUTIDX,2023,,
2023-05-19,2023-05-25,43900.0,44016.8,43524.3,43967.15,43990.1,43967.15,2907575,25,127280106187.5,1974400.0,-98425.0,BANKNIFTY,FUTIDX,2023,,
2023-05-18,2023-05-25,43792.0,44057.85,43712.65,43775.45,43807.75,43775.45,3028750,25,132974844398.75,2072825.0,-7525.0,BANKNIFTY,FUTIDX,2023,,
2023-05-17,2023-05-25,43880.6,43955.0,43465.0,43721.15,43750.0,43721.15,2968150,25,129699410541.25,2080350.0,-169325.0,BANKNIFTY,FUTIDX,2023,,
2023-05-16,2023-05-25,44050.05,44114.7,43842.9,43903.15,43880.65,43903.15,2062775,25,90741731612.5,2249675.0,-72300.0,BANKNIFTY,FUTIDX,2023,,
2023-05-15,2023-05-25,43757.2,44075.0,43630.05,43999.8,43996.0,43999.8,2163575,25,95033988247.5,2321975.0,79275.0,BANKNIFTY,FUTIDX,2023,,
2023-05-12,2023-05-25,43455.35,43871.95,43331.05,43757.15,43760.0,43757.15,2801350,25,122190745065.0,2242700.0,-79275.0,BANKNIFTY,FUTIDX,2023,,
2023-05-11,2023-05-25,43489.95,43644.85,43360.0,43461.75,43490.0,43461.75,2833625,25,123292543722.5,2321975.0,154575.0,BANKNIFTY,FUTIDX,2023,,
2023-05-10,2023-05-25,43190.0,43350.0,42849.1,43314.95,43315.0,43314.95,3495925,25,150859017576.25,2167400.0,-73950.0,BANKNIFTY,FUTIDX,2023,,
2023-05-09,2023-05-25,43405.0,43514.95,43127.85,43202.2,43201.0,43202.2,2424050,25,105068313812.5,2241350.0,-134375.0,BANKNIFTY,FUTIDX,2023,,
2023-05-08,2023-05-25,42789.95,43450.0,42750.05,43315.95,43330.0,43315.95,3084150,25,133359484031.25,2375725.0,68650.0,BANKNIFTY,FUTIDX,2023,,
2023-05-05,2023-05-25,43225.0,43584.35,42630.0,42712.2,42720.0,42712.2,5557550,25,239686256302.5,2307075.0,-162700.0,BANKNIFTY,FUTIDX,2023,,
2023-05-04,2023-05-25,43212.7,43695.0,43212.7,43657.8,43643.0,43657.8,2428100,25,105540440288.75,2469775.0,156875.0,BANKNIFTY,FUTIDX,2023,,
2023-05-03,2023-05-25,43152.0,43348.0,43116.95,43311.6,43320.0,43311.6,2105800,25,91048261551.25,2312900.0,6800.0,BANKNIFTY,FUTIDX,2023,,
2023-05-02,2023-05-25,43360.0,43479.0,43255.65,43367.25,43347.4,43367.25,1978200,25,85852116735.0,2306100.0,15400.0,BANKNIFTY,FUTIDX,2023,,
2023-04-28,2023-05-25,43039.9,43273.05,42875.05,43217.4,43230.1,43217.4,2574325,25,110830684395.0,2290700.0,84225.0,BANKNIFTY,FUTIDX,2023,,
2023-04-27,2023-05-25,42805.55,43040.0,42805.55,43012.25,43000.0,43012.25,2297025,25,98662773007.5,2206475.0,689850.0,BANKNIFTY,FUTIDX,2023,,
2023-04-26,2023-05-25,42740.0,42924.15,42549.35,42895.65,42915.2,42895.65,1291525,25,55212111838.75,1516625.0,404150.0,BANKNIFTY,FUTIDX,2023,,
2023-04-25,2023-05-25,42751.25,42932.15,42703.7,42776.95,42749.0,42776.95,1073325,25,45980765930.0,1112475.0,306650.0,BANKNIFTY,FUTIDX,2023,,
