DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2020-01-30,2020-01-30,12115.6,12117.9,12006.3,12043.5,12036.8,12035.8,9898650,75,119221700448.75,5467875.0,-2761125.0,NIFTY,FUTIDX,2020,,
2020-01-29,2020-01-30,12114.4,12182.45,12095.6,12121.55,12121.0,12121.55,10762125,75,130650573431.25,8229000.0,-2666025.0,NIFTY,FUTIDX,2020,,
2020-01-28,2020-01-30,12124.9,12162.45,12038.0,12068.0,12075.0,12068.0,9964200,75,120632835487.5,10895025.0,-1474650.0,NIFTY,FUTIDX,2020,,
2020-01-27,2020-01-30,12168.85,12209.6,12117.5,12125.7,12118.95,12125.7,9734250,75,118415242297.5,12369675.0,-24825.0,NIFTY,FUTIDX,2020,,
2020-01-24,2020-01-30,12204.75,12292.7,12157.0,12271.6,12271.2,12271.6,8184525,75,100203418533.75,12394500.0,-203325.0,NIFTY,FUTIDX,2020,,
2020-01-23,2020-01-30,12138.85,12220.0,12110.15,12201.0,12199.85,12201.0,8183925,75,99672214897.5,12597825.0,-279825.0,NIFTY,FUTIDX,2020,,
2020-01-22,2020-01-30,12245.65,12249.75,12110.0,12145.25,12149.0,12145.25,8519625,75,103682649615.0,12877650.0,-139800.0,NIFTY,FUTIDX,2020,,
2020-01-21,2020-01-30,12212.9,12244.0,12181.25,12203.1,12200.1,12203.1,7256250,75,88609222245.0,13017450.0,-163950.0,NIFTY,FUTIDX,2020,,
2020-01-20,2020-01-30,12413.4,12419.2,12252.0,12263.15,12266.0,12263.15,9505500,75,116984351572.5,13181400.0,-420750.0,NIFTY,FUTIDX,2020,,
2020-01-17,2020-01-30,12345.0,12407.5,12335.0,12384.65,12377.5,12384.65,6000675,75,74278271891.25,13602150.0,215100.0,NIFTY,FUTIDX,2020,,
2020-01-16,2020-01-30,12359.4,12409.4,12339.2,12374.35,12370.25,12374.35,6287250,75,77822396276.25,13387050.0,314700.0,NIFTY,FUTIDX,2020,,
2020-01-15,2020-01-30,12363.4,12391.95,12319.05,12378.05,12374.5,12378.05,6392325,75,78923642340.0,13072350.0,-480600.0,NIFTY,FUTIDX,2020,,
2020-01-14,2020-01-30,12359.9,12412.5,12331.2,12397.0,12394.0,12397.0,6534525,75,80812144777.5,13552950.0,271200.0,NIFTY,FUTIDX,2020,,
