DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE
2025-01-30,2025-01-30,49080.0,49377.7,49031.4,49289.5,49309.0,49311.95,1227795,15,60444976173.0,827580.0,-200985.0,BANKNIFTY,FUTIDX
2025-01-29,2025-01-30,48926.05,49128.0,48812.1,49082.15,49110.0,49082.15,1299285,15,63682681273.5,1028565.0,-456960.0,BANKNIFTY,FUTIDX
2025-01-28,2025-01-30,48610.0,49213.95,48417.7,48828.9,48855.1,48828.9,2105895,15,102918489464.25,1485525.0,-606255.0,BANKNIFTY,FUTIDX
2025-01-27,2025-01-30,47994.7,48349.9,47722.25,48080.95,48045.0,48080.95,1600455,15,77009290659.75,2091780.0,-157770.0,BANKNIFTY,FUTIDX
2025-01-24,2025-01-30,48750.0,48950.0,48252.0,48375.2,48347.5,48375.2,1883400,15,91481180361.0,2249550.0,-69525.0,BANKNIFTY,FUTIDX
2025-01-23,2025-01-30,48900.0,49022.65,48586.45,48696.0,48671.0,48696.0,1287210,15,62785624981.5,2319075.0,14280.0,BANKNIFTY,FUTIDX
2025-01-22,2025-01-30,48860.15,48950.0,48185.0,48887.65,48871.0,48887.65,1893765,15,92083153745.25,2304795.0,-60975.0,BANKNIFTY,FUTIDX
2025-01-21,2025-01-30,49555.05,49699.95,48606.05,48763.25,48766.05,48763.25,2081610,15,102002005433.25,2365770.0,-18450.0,BANKNIFTY,FUTIDX
2025-01-20,2025-01-30,48902.1,49815.0,48774.9,49512.9,49499.0,49512.9,1969035,15,97217888370.0,2384220.0,-44265.0,BANKNIFTY,FUTIDX
2025-01-17,2025-01-30,49201.0,49288.4,48425.0,48685.65,48711.95,48685.65,1906050,15,92877671946.0,2428485.0,48690.0,BANKNIFTY,FUTIDX
2025-01-16,2025-01-30,49300.1,49670.0,49134.75,49443.95,49500.0,49443.95,1517175,15,75042322258.5,2379795.0,19365.0,BANKNIFTY,FUTIDX
2025-01-15,2025-01-30,49120.0,49237.45,48630.15,48892.55,48909.0,48892.55,1147485,15,56149400272.5,2360430.0,-39540.0,BANKNIFTY,FUTIDX
