DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,OPTION TYPE,STRIKE PRICE
2024-08-29,2024-08-29,25014.95,25220.75,24984.5,25169.9,25156.3,25151.95,6827725,25,171443557471.25,4112850.0,-1724825.0,NIFTY,FUTIDX,,
2024-08-28,2024-08-29,25019.0,25145.0,24981.05,25048.35,25055.0,25048.35,5364950,25,134534072291.25,5837675.0,-2192000.0,NIFTY,FUTIDX,,
2024-08-27,2024-08-29,25043.05,25095.0,24980.1,25017.7,25001.0,25017.7,4216675,25,105578932738.75,8029675.0,-1719525.0,NIFTY,FUTIDX,,
2024-08-26,2024-08-29,24901.65,25085.3,24885.0,25043.3,25045.0,25043.3,5153725,25,128942251383.75,9749200.0,-1177100.0,NIFTY,FUTIDX,,
2024-08-23,2024-08-29,24840.4,24888.0,24790.95,24854.0,24854.65,24854.0,3562175,25,88513234928.75,10926300.0,370300.0,NIFTY,FUTIDX,,
2024-08-22,2024-08-29,24849.95,24873.45,24805.2,24840.45,24840.0,24840.45,3300650,25,81990405115.0,10556000.0,-162300.0,NIFTY,FUTIDX,,
2024-08-21,2024-08-29,24697.7,24806.85,24685.05,24798.15,24796.2,24798.15,2979825,25,73764630361.25,10718300.0,-54375.0,NIFTY,FUTIDX,,
2024-08-20,2024-08-29,24639.95,24765.0,24624.25,24711.25,24707.0,24711.25,3759150,25,92897986970.0,10772675.0,-194050.0,NIFTY,FUTIDX,,
2024-08-19,2024-08-29,24640.2,24661.75,24533.0,24595.75,24590.0,24595.75,3798325,25,93437463501.25,10966725.0,-328875.0,NIFTY,FUTIDX,,
2024-08-16,2024-08-29,24322.35,24606.15,24233.0,24585.5,24598.05,24585.5,9540625,25,233098172040.0,11295600.0,-235900.0,NIFTY,FUTIDX,,
2024-08-14,2024-08-29,24199.95,24228.65,24122.15,24174.65,24170.45,24174.65,4508525,25,108994302366.25,11531500.0,-467175.0,NIFTY,FUTIDX,,
2024-08-13,2024-08-29,24349.95,24390.0,24125.35,24161.0,24158.5,24161.0,5699100,25,138219632167.5,11998675.0,294575.0,NIFTY,FUTIDX,,
2024-08-12,2024-08-29,24355.0,24530.0,24272.0,24356.8,24360.0,24356.8,6599150,25,161015786246.25,11704100.0,-4975.0,NIFTY,FUTIDX,,
2024-08-09,2024-08-29,24350.2,24444.0,24316.4,24401.5,24404.0,24401.5,6500325,25,158537245352.5,11709075.0,-634000.0,NIFTY,FUTIDX,,
2024-08-08,2024-08-29,24299.0,24357.75,24111.0,24136.55,24120.0,24136.55,9407300,25,227800972348.75,12343075.0,-393300.0,NIFTY,FUTIDX,,
2024-08-07,2024-08-29,24310.2,24397.95,24208.2,24366.45,24373.1,24366.45,8281950,25,201365780715.0,12736375.0,-707300.0,NIFTY,FUTIDX,,
2024-08-06,2024-08-29,24230.2,24398.9,24001.0,24056.9,24090.0,24056.9,10554300,25,255538184003.75,13443675.0,-1220450.0,NIFTY,FUTIDX,,
2024-08-05,2024-08-29,24550.0,24550.0,23912.5,24102.95,24094.1,24102.95,17838500,25,430882976393.75,14664125.0,-552500.0,NIFTY,FUTIDX,,
2024-08-02,2024-08-29,24824.95,24884.8,24670.0,24711.55,24700.0,24711.55,8231400,25,204061709897.5,15216625.0,-451375.0,NIFTY,FUTIDX,,
2024-08-01,2024-08-29,25060.05,25132.85,24985.85,25032.25,25036.7,25032.25,5726425,25,143444332111.25,15668000.0,264700.0,NIFTY,FUTIDX,,
2024-07-31,2024-08-29,24933.0,25033.0,24911.0,25013.15,25033.0,25013.15,4122225,25,102999413061.25,15403300.0,799800.0,NIFTY,FUTIDX,,
2024-07-30,2024-08-29,24870.0,25016.05,24850.0,24929.1,24932.5,24929.1,5279600,25,131725501451.25,14603500.0,274900.0,NIFTY,FUTIDX,,
2024-08-29,2024-08-29,4044.05,4210.7,3990.1,4170.95,4158.4,25151.95,163850,25,4115364027.5,210150.0,-49675.0,NIFTY,OPTIDX,CE,21000.0
2024-08-28,2024-08-29,3995.55,4150.5,3994.3,4047.95,4056.7,4047.95,87825,25,2204122227.5,259825.0,-60800.0,NIFTY,OPTIDX,CE,21000.0
2024-08-27,2024-08-29,4039.5,4091.85,3989.0,4019.1,4005.95,4019.1,50850,25,1273828831.25,320625.0,-41850.0,NIFTY,OPTIDX,CE,21000.0
2024-08-26,2024-08-29,3900.0,4070.0,3900.0,4042.6,4047.25,4042.6,71025,25,1778497565.0,362475.0,-36375.0,NIFTY,OPTIDX,CE,21000.0
2024-08-23,2024-08-29,3812.0,3875.0,3792.5,3838.55,3861.2,3838.55,17300,25,429870373.75,398850.0,-12875.0,NIFTY,OPTIDX,CE,21000.0
2024-08-22,2024-08-29,3828.25,3865.0,3811.0,3836.0,3831.5,3836.0,14625,25,363358600.0,411725.0,-7275.0,NIFTY,OPTIDX,CE,21000.0
2024-08-21,2024-08-29,3715.0,3799.55,3685.0,3790.8,3788.05,3790.8,22425,25,554898032.5,419000.0,2150.0,NIFTY,OPTIDX,CE,21000.0
2024-08-20,2024-08-29,3630.0,3755.0,3619.25,3709.15,3706.9,3709.15,22750,25,562047122.5,416850.0,-13250.0,NIFTY,OPTIDX,CE,21000.0
2024-08-19,2024-08-29,3632.95,3633.65,3530.0,3581.8,3580.9,3581.8,10175,25,250170968.75,430100.0,-7975.0,NIFTY,OPTIDX,CE,21000.0
2024-08-16,2024-08-29,3371.8,3596.05,3235.0,3576.75,3589.95,3576.75,40500,25,990178947.5,438075.0,-27450.0,NIFTY,OPTIDX,CE,21000.0
2024-08-14,2024-08-29,3142.1,3216.0,3120.0,3159.65,3157.0,3159.65,9750,25,235646523.75,465525.0,-2750.0,NIFTY,OPTIDX,CE,21000.0
2024-08-13,2024-08-29,3343.65,3365.2,3115.0,3155.0,3144.0,3155.0,3400,25,82470433.75,468275.0,-2200.0,NIFTY,OPTIDX,CE,21000.0
2024-08-12,2024-08-29,3360.0,3500.05,3265.0,3348.9,3350.0,3348.9,17425,25,425112766.25,470475.0,-11150.0,NIFTY,OPTIDX,CE,21000.0
2024-08-09,2024-08-29,3365.0,3426.25,3332.5,3385.6,3383.5,3385.6,24675,25,601556938.75,481625.0,-18525.0,NIFTY,OPTIDX,CE,21000.0
2024-08-08,2024-08-29,3260.0,3345.1,3094.0,3125.25,3102.4,3125.25,34400,25,834888652.5,500150.0,-28350.0,NIFTY,OPTIDX,CE,21000.0
2024-08-07,2024-08-29,3288.15,3357.95,3201.4,3348.75,3351.05,3348.75,13000,25,315800687.5,528500.0,2700.0,NIFTY,OPTIDX,CE,21000.0
2024-08-06,2024-08-29,3286.9,3373.95,3000.0,3044.65,3074.2,3044.65,17700,25,428531903.75,525800.0,-7575.0,NIFTY,OPTIDX,CE,21000.0
2024-08-05,2024-08-29,3400.0,3400.0,2951.65,3103.15,3086.95,3103.15,124200,25,2994776805.0,533375.0,-18375.0,NIFTY,OPTIDX,CE,21000.0
2024-08-02,2024-08-29,3800.0,3840.0,3640.0,3685.45,3670.75,3685.45,55075,25,1362112760.0,551750.0,20575.0,NIFTY,OPTIDX,CE,21000.0
2024-08-01,2024-08-29,4060.1,4108.4,3963.05,3987.95,3994.05,3987.95,9975,25,249542411.25,531175.0,125.0,NIFTY,OPTIDX,CE,21000.0
