DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2023-02-23,2023-02-23,CE,40000.0,199.7,235.0,0.55,7.2,1.3,40001.55,672924750,25,26961437856765.0,6352875.0,4286900.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-22,2023-02-23,CE,40000.0,626.8,626.8,163.9,190.45,168.55,190.45,81350225,25,3274427755425.0,2065975.0,1675075.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-21,2023-02-23,CE,40000.0,848.35,1003.0,631.5,748.8,772.0,748.8,2750425,25,112163618431.25,390900.0,24975.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-20,2023-02-23,CE,40000.0,1259.7,1331.2,729.85,841.1,845.0,841.1,1199150,25,49132165926.25,365925.0,-16525.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-17,2023-02-23,CE,40000.0,1560.05,1560.05,1046.6,1242.2,1241.4,1242.2,454350,25,18745116803.75,382450.0,575.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-16,2023-02-23,CE,40000.0,1940.0,2050.0,1695.0,1750.15,1715.25,1750.15,63250,25,2647582883.75,381875.0,8300.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-15,2023-02-23,CE,40000.0,1650.05,1868.0,1580.0,1821.45,1852.05,1821.45,52800,25,2202481457.5,373575.0,-2850.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-14,2023-02-23,CE,40000.0,1502.0,1824.95,1388.25,1757.8,1763.75,1757.8,107175,25,4452713495.0,376425.0,-9900.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-13,2023-02-23,CE,40000.0,1670.0,1780.0,1372.6,1478.2,1460.0,1478.2,77500,25,3215774578.75,386325.0,1500.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-10,2023-02-23,CE,40000.0,1700.0,1806.0,1650.0,1729.05,1720.0,1729.05,32900,25,1372965618.75,384825.0,-800.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-09,2023-02-23,CE,40000.0,1728.35,1841.2,1558.95,1803.85,1830.0,1803.85,64700,25,2696984488.75,385625.0,-2325.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-08,2023-02-23,CE,40000.0,1830.0,2010.0,1700.0,1820.2,1796.0,1820.2,37575,25,1571667597.5,387950.0,400.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
2023-02-07,2023-02-23,CE,40000.0,1800.0,1903.05,1520.7,1822.8,1842.65,1822.8,50550,25,2110033558.75,387550.0,-6825.0,BANKNIFTY,OPTIDX,2023,2,BANKNIFTY
