DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2021-02-04,2021-02-25,CE,15000.0,196.8,255.35,160.55,234.2,229.15,234.2,3833100,75,58296926868.75,1421325.0,33450.0,NIFTY,OPTIDX,2021,2,NIFTY
2021-02-01,2021-02-25,CE,15000.0,30.0,94.3,22.8,79.9,93.8,79.9,4469475,75,67262126231.25,1404225.0,-19575.0,NIFTY,OPTIDX,2021,2,NIFTY
2021-02-04,2021-02-25,PE,15000.0,419.95,425.4,315.1,332.9,335.05,332.9,923400,75,14175039371.25,576750.0,45075.0,NIFTY,OPTIDX,2021,2,NIFTY
2021-02-01,2021-02-25,PE,15000.0,1282.05,1306.5,691.0,730.6,699.4,730.6,107325,75,1703800012.5,508350.0,2175.0,NIFTY,OPTIDX,2021,2,NIFTY
2021-02-04,2021-02-25,CE,16000.0,19.7,22.3,12.15,15.8,15.5,15.8,896175,75,14352401448.75,1378200.0,118875.0,NIFTY,OPTIDX,2021,2,NIFTY
2021-02-01,2021-02-25,CE,16000.0,8.95,9.45,5.95,8.0,7.5,8.0,726375,75,11627516996.25,702075.0,-4500.0,NIFTY,OPTIDX,2021,2,NIFTY
2021-02-04,2021-02-25,PE,16000.0,1239.2,1264.7,1076.75,1113.55,1115.4,1113.55,32925,75,564417300.0,292425.0,11700.0,NIFTY,OPTIDX,2021,2,NIFTY
2021-02-01,2021-02-25,PE,16000.0,2225.0,2282.0,1603.1,1650.1,1603.1,1650.1,11475,75,205438785.0,226800.0,-300.0,NIFTY,OPTIDX,2021,2,NIFTY
2021-03-04,2021-03-25,CE,15000.0,362.45,463.85,327.2,400.25,407.0,400.25,2847600,75,43824014482.5,1647450.0,369675.0,NIFTY,OPTIDX,2021,3,NIFTY
2021-03-02,2021-03-25,CE,15000.0,298.0,326.7,248.6,311.35,318.95,311.35,3295500,75,50385843161.25,1637100.0,110475.0,NIFTY,OPTIDX,2021,3,NIFTY
2021-03-04,2021-03-25,PE,15000.0,338.5,340.0,233.1,297.1,303.25,297.1,5172225,75,79036748512.5,1973850.0,311325.0,NIFTY,OPTIDX,2021,3,NIFTY
