DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2024-12-26,2024-12-26,CE,20000.0,3831.0,3880.0,3639.0,3751.3,3751.0,23750.2,167975,25,3991178667.5,127350.0,-111725.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-24,2024-12-26,CE,20000.0,3773.95,3889.1,3736.7,3775.0,3775.0,3775.0,104075,25,2478851441.25,239075.0,-52725.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-23,2024-12-26,CE,20000.0,3780.0,3906.0,3674.15,3772.85,3770.2,3772.85,19075,25,453872536.25,291800.0,-1175.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-20,2024-12-26,CE,20000.0,3956.0,4090.0,3606.25,3634.85,3648.6,3634.85,31925,25,759624482.5,292975.0,-175.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-19,2024-12-26,CE,20000.0,3950.0,4043.6,3930.0,4020.65,4016.35,4020.65,11275,25,270690778.75,293150.0,-2550.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-18,2024-12-26,CE,20000.0,4363.0,4459.95,4218.65,4255.9,4257.95,4255.9,20175,25,490139471.25,295700.0,-1250.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-17,2024-12-26,CE,20000.0,4632.5,4632.5,4380.0,4420.0,4402.0,4420.0,13475,25,329757367.5,296950.0,-150.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-16,2024-12-26,CE,20000.0,4770.0,4799.0,4660.75,4733.35,4719.0,4733.35,35825,25,885602596.25,297100.0,-1575.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-13,2024-12-26,CE,20000.0,4543.2,4861.15,4220.0,4827.65,4861.15,4827.65,12475,25,306450742.5,298675.0,-2100.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-12,2024-12-26,CE,20000.0,4741.0,4741.0,4625.05,4640.25,4637.7,4640.25,4475,25,110308652.5,300775.0,-425.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-11,2024-12-26,CE,20000.0,4673.95,4782.8,4673.95,4729.3,4734.75,4729.3,14125,25,349458388.75,301200.0,-750.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-10,2024-12-26,CE,20000.0,4657.0,4745.0,4593.6,4672.6,4676.1,4672.6,12325,25,303862448.75,301950.0,-2175.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-09,2024-12-26,CE,20000.0,4701.75,4757.0,4645.0,4675.8,4670.05,4675.8,10400,25,256895591.25,304125.0,50.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-06,2024-12-26,CE,20000.0,4789.5,4810.0,4738.85,4767.25,4750.75,4767.25,10625,25,263345090.0,304075.0,-3050.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-05,2024-12-26,CE,20000.0,4591.25,4907.9,4422.0,4726.75,4761.65,4726.75,12900,25,318818628.75,307125.0,475.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-04,2024-12-26,CE,20000.0,4568.3,4633.15,4439.05,4530.05,4541.95,4530.05,9275,25,227837851.25,306650.0,1325.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-03,2024-12-26,CE,20000.0,4410.0,4562.0,4375.0,4525.0,4503.95,4525.0,4200,25,102924360.0,305325.0,-25.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-12-02,2024-12-26,CE,20000.0,4250.0,4450.0,4150.0,4412.75,4407.55,4412.75,10800,25,262833351.25,305350.0,100.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-11-29,2024-12-26,CE,20000.0,4110.0,4321.9,4082.1,4271.4,4275.1,4271.4,14950,25,361855101.25,305250.0,2075.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-11-28,2024-12-26,CE,20000.0,4414.9,4477.2,4030.1,4100.7,4100.8,4100.7,25000,25,605591710.0,303175.0,1250.0,NIFTY,OPTIDX,2024,12,NIFTY
2024-11-27,2024-12-26,CE,20000.0,4291.45,4476.5,4267.8,4405.05,4412.0,4405.05,10300,25,250603962.5,301925.0,0.0,NIFTY,OPTIDX,2024,12,NIFTY
