DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2024-02-29,2024-03-28,CE,45000.0,1731.45,2045.85,1621.0,1945.75,2000.0,1945.75,105435,15,4938031754.25,78555.0,11130.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-28,2024-03-28,CE,45000.0,2300.95,2367.25,1713.9,1746.7,1713.9,1746.7,76335,15,3582978366.0,67425.0,19140.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-27,2024-03-28,CE,45000.0,2285.05,2375.0,2101.2,2255.2,2253.6,2255.2,14310,15,676094136.75,48285.0,2700.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-29,2024-03-28,PE,45000.0,549.9,588.0,349.9,386.45,360.0,386.45,761325,15,34599547064.25,509355.0,33900.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-28,2024-03-28,PE,45000.0,339.95,569.35,291.6,530.3,569.0,530.3,824550,15,37467097483.5,475455.0,95085.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-27,2024-03-28,PE,45000.0,355.0,474.05,301.7,330.3,323.15,330.3,343275,15,15566962657.5,380370.0,61170.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-29,2024-03-28,CE,46000.0,1090.0,1313.5,1021.0,1235.75,1275.0,1235.75,792135,15,37369946922.75,274530.0,117465.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-28,2024-03-28,CE,46000.0,1526.55,1615.0,1093.35,1126.1,1096.05,1126.1,341115,15,16125749283.75,157065.0,43845.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-27,2024-03-28,CE,46000.0,1546.5,1631.85,1410.05,1530.1,1545.45,1530.1,139680,15,6637161933.75,113220.0,10155.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-29,2024-03-28,PE,46000.0,1000.0,1000.0,618.6,689.75,642.0,689.75,1097820,15,51353117735.25,496245.0,156330.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-28,2024-03-28,PE,46000.0,591.95,947.95,527.45,889.6,939.0,889.6,834570,15,39017667335.25,339915.0,47820.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-27,2024-03-28,PE,46000.0,611.2,709.75,544.15,592.85,577.7,592.85,422010,15,19672027106.25,292095.0,62790.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-29,2024-03-28,CE,47000.0,612.45,745.0,573.25,695.65,717.6,695.65,807525,15,38483442072.75,418950.0,22845.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-28,2024-03-28,CE,47000.0,930.0,993.45,620.15,644.6,632.95,644.6,735225,15,35122683198.75,396105.0,46140.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-27,2024-03-28,CE,47000.0,945.0,1014.9,858.25,933.1,934.95,933.1,476505,15,22844318893.5,349965.0,70155.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-29,2024-03-28,PE,47000.0,1400.0,1530.0,1035.0,1130.3,1070.0,1130.3,397050,15,19160181855.0,354210.0,12705.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-28,2024-03-28,PE,47000.0,997.65,1461.0,890.05,1395.85,1461.0,1395.85,375390,15,18076777467.0,341505.0,-13905.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
2024-02-27,2024-03-28,PE,47000.0,1003.15,1148.2,913.6,989.4,972.0,989.4,285030,15,13684333868.25,355410.0,35625.0,BANKNIFTY,OPTIDX,2024,3,BANKNIFTY
