DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2021-01-28,2021-01-28,13849.95,13896.9,13706.3,13813.5,13819.45,13817.55,14427600,75,199299659741.25,3002850.0,-3383250.0,NIFTY,FUTIDX,2021,,
2021-01-27,2021-01-28,14199.0,14208.0,13933.1,13982.55,13981.1,13982.55,15469275,75,217691217937.5,6386100.0,-3163050.0,NIFTY,FUTIDX,2021,,
2021-01-25,2021-01-28,14475.0,14497.75,14233.6,14253.15,14254.0,14253.15,13885425,75,199300266690.0,9549150.0,-1809300.0,NIFTY,FUTIDX,2021,,
2021-01-22,2021-01-28,14593.0,14625.9,14356.0,14380.15,14375.1,14380.15,16387650,75,237298404303.75,11358450.0,-782775.0,NIFTY,FUTIDX,2021,,
2021-01-21,2021-01-28,14711.05,14765.45,14508.3,14598.65,14639.8,14598.65,9916050,75,145628779402.5,12141225.0,-306900.0,NIFTY,FUTIDX,2021,,
2021-01-20,2021-01-28,14581.0,14670.45,14524.1,14645.15,14633.0,14645.15,8845275,75,129203685888.75,12448125.0,429150.0,NIFTY,FUTIDX,2021,,
2021-01-19,2021-01-28,14380.5,14586.3,14364.25,14570.0,14572.0,14570.0,10990125,75,159179659878.75,12018975.0,-168450.0,NIFTY,FUTIDX,2021,,
2021-01-18,2021-01-28,14458.5,14458.95,14250.0,14287.25,14251.65,14287.25,13203750,75,189347508063.75,12187425.0,-613500.0,NIFTY,FUTIDX,2021,,
2021-01-15,2021-01-28,14605.0,14623.55,14375.1,14458.5,14460.0,14458.5,14423025,75,209056552136.25,12800925.0,-425925.0,NIFTY,FUTIDX,2021,,
2021-01-14,2021-01-28,14580.0,14643.75,14504.6,14628.1,14632.0,14628.1,8168400,75,119161800832.5,13226850.0,5925.0,NIFTY,FUTIDX,2021,,
2021-01-13,2021-01-28,14653.85,14660.0,14476.0,14606.15,14591.15,14606.15,12772875,75,186340167180.0,13220925.0,-670500.0,NIFTY,FUTIDX,2021,,
