DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2021-01-28,2021-01-28,29886.1,30410.75,29661.0,30306.75,30363.8,30358.3,5616525,25,168506304850.0,610775.0,-325975.0,BANKNIFTY,FUTIDX,2021,,
2021-01-27,2021-01-28,31165.35,31249.9,30177.1,30328.35,30350.8,30328.35,6423975,25,197303423836.25,936750.0,-486175.0,BANKNIFTY,FUTIDX,2021,,
2021-01-25,2021-01-28,31469.95,31700.0,30989.9,31181.15,31188.0,31181.15,6284050,25,197164655992.5,1422925.0,-53525.0,BANKNIFTY,FUTIDX,2021,,
2021-01-22,2021-01-28,32200.2,32226.95,31123.05,31197.75,31204.0,31197.75,7572100,25,238930111808.75,1476450.0,-37875.0,BANKNIFTY,FUTIDX,2021,,
2021-01-21,2021-01-28,32749.0,32899.0,32001.5,32228.8,32320.0,32228.8,4935900,25,160803916720.0,1514325.0,80225.0,BANKNIFTY,FUTIDX,2021,,
2021-01-20,2021-01-28,32426.25,32664.85,32354.3,32584.7,32560.0,32584.7,3748875,25,121953394121.25,1434100.0,-149325.0,BANKNIFTY,FUTIDX,2021,,
2021-01-19,2021-01-28,32085.5,32569.75,31919.0,32520.9,32532.5,32520.9,4439150,25,143118161957.5,1583425.0,-125.0,BANKNIFTY,FUTIDX,2021,,
2021-01-18,2021-01-28,32315.65,32467.85,31691.7,31815.7,31701.2,31815.7,5636075,25,180897798937.5,1583550.0,133675.0,BANKNIFTY,FUTIDX,2021,,
2021-01-15,2021-01-28,32600.0,32610.0,32105.0,32314.05,32314.5,32314.05,4958000,25,160306852888.75,1449875.0,49075.0,BANKNIFTY,FUTIDX,2021,,
2021-01-14,2021-01-28,32600.0,32861.4,32562.1,32647.8,32706.4,32647.8,3337350,25,109080372560.0,1400800.0,23175.0,BANKNIFTY,FUTIDX,2021,,
2021-01-13,2021-01-28,32603.0,32758.15,32251.85,32685.15,32649.15,32685.15,5772400,25,187984415788.75,1377625.0,-193175.0,BANKNIFTY,FUTIDX,2021,,
2021-01-12,2021-01-28,31849.95,32508.9,31810.0,32455.05,32460.0,32455.05,4322275,25,139264319613.75,1570800.0,4625.0,BANKNIFTY,FUTIDX,2021,,
2021-01-11,2021-01-28,32480.0,32480.0,31888.0,32096.25,32114.95,32096.25,4089650,25,131174786442.5,1566175.0,-114975.0,BANKNIFTY,FUTIDX,2021,,
2021-01-08,2021-01-28,32305.1,32337.95,32080.2,32172.7,32163.95,32172.7,3417400,25,110076264900.0,1681150.0,-45525.0,BANKNIFTY,FUTIDX,2021,,
2021-01-07,2021-01-28,32106.05,32294.95,32034.05,32078.75,32089.0,32078.75,4051275,25,130248380097.5,1726675.0,-5700.0,BANKNIFTY,FUTIDX,2021,,
2021-01-06,2021-01-28,31875.0,32089.7,31662.5,31903.1,31835.2,31903.1,5024050,25,160246760893.75,1732375.0,-66950.0,BANKNIFTY,FUTIDX,2021,,
2021-01-05,2021-01-28,31130.0,31844.0,31011.1,31798.75,31792.95,31798.75,5376275,25,169125166920.0,1799325.0,331350.0,BANKNIFTY,FUTIDX,2021,,
2021-01-04,2021-01-28,31450.25,31599.0,30930.8,31326.55,31371.6,31326.55,5362875,25,167883103373.75,1467975.0,34750.0,BANKNIFTY,FUTIDX,2021,,
2021-01-01,2021-01-28,31250.0,31425.0,31250.0,31309.35,31285.0,31309.35,2403375,25,75328267066.25,1433225.0,19800.0,BANKNIFTY,FUTIDX,2021,,
2020-12-31,2021-01-28,31360.0,31437.8,31150.0,31303.0,31270.0,31303.0,2006575,25,62872140997.5,1413425.0,482175.0,BANKNIFTY,FUTIDX,2021,,
2020-12-30,2021-01-28,31519.85,31606.75,31102.0,31419.7,31371.95,31419.7,1304100,25,40850975237.5,931250.0,255075.0,BANKNIFTY,FUTIDX,2021,,
2020-12-29,2021-01-28,31148.9,31468.85,31080.0,31425.75,31439.55,31425.75,963850,25,30206220015.0,676175.0,231900.0,BANKNIFTY,FUTIDX,2021,,
2021-02-25,2021-02-25,36502.0,37243.4,36482.35,36555.05,36548.3,36549.0,5006275,25,184625093977.5,401150.0,-571100.0,BANKNIFTY,FUTIDX,2021,,
2021-02-24,2021-02-25,35090.0,36553.8,35035.0,36468.7,36537.2,36468.7,4915125,25,176037692331.25,972250.0,-206625.0,BANKNIFTY,FUTIDX,2021,,
2021-02-23,2021-02-25,35580.0,35714.95,34988.75,35119.85,35148.0,35119.85,5806750,25,204970684997.5,1178875.0,-95050.0,BANKNIFTY,FUTIDX,2021,,
2021-02-22,2021-02-25,35622.35,36116.0,35075.0,35254.55,35168.0,35254.55,5913250,25,210095033390.0,1273925.0,-260000.0,BANKNIFTY,FUTIDX,2021,,
2021-02-19,2021-02-25,36402.0,36680.0,35570.25,35849.8,35922.6,35849.8,6440375,25,232865857021.25,1533925.0,-34900.0,BANKNIFTY,FUTIDX,2021,,
2021-02-18,2021-02-25,37075.0,37125.15,36352.0,36603.3,36600.0,36603.3,5162375,25,189374132636.25,1568825.0,31175.0,BANKNIFTY,FUTIDX,2021,,
2021-02-17,2021-02-25,37050.05,37400.55,36820.0,36976.0,36930.0,36976.0,5429000,25,201352701155.0,1537650.0,-168300.0,BANKNIFTY,FUTIDX,2021,,
2021-02-16,2021-02-25,37550.0,37770.0,36832.6,37218.15,37245.0,37218.15,6467425,25,241027709095.0,1705950.0,-270075.0,BANKNIFTY,FUTIDX,2021,,
2021-02-15,2021-02-25,36455.0,37543.95,36423.45,37402.65,37540.0,37402.65,4942075,25,182762937501.25,1976025.0,227650.0,BANKNIFTY,FUTIDX,2021,,
2021-02-12,2021-02-25,35770.0,36347.75,35720.15,36133.8,36159.45,36133.8,5159050,25,186146020147.5,1748375.0,165900.0,BANKNIFTY,FUTIDX,2021,,
2021-02-11,2021-02-25,35750.0,36067.0,35630.0,35808.75,35854.1,35808.75,4145650,25,148528049781.25,1582475.0,65525.0,BANKNIFTY,FUTIDX,2021,,
2021-02-10,2021-02-25,35960.0,36253.0,35462.75,35875.4,36003.95,35875.4,5852675,25,209887720486.25,1516950.0,-63825.0,BANKNIFTY,FUTIDX,2021,,
2021-02-09,2021-02-25,36580.0,36580.0,35639.0,36045.95,35998.0,36045.95,5795275,25,209437389760.0,1580775.0,-1000.0,BANKNIFTY,FUTIDX,2021,,
2021-02-08,2021-02-25,36140.0,36503.5,35860.0,36013.8,36031.0,36013.8,5659000,25,204794772772.5,1581775.0,-151850.0,BANKNIFTY,FUTIDX,2021,,
2021-02-05,2021-02-25,35575.9,36640.0,35527.0,35665.95,35792.0,35665.95,8858700,25,319262408228.75,1733625.0,-6900.0,BANKNIFTY,FUTIDX,2021,,
2021-02-04,2021-02-25,34551.05,35488.0,34343.55,35352.05,35342.45,35352.05,6119800,25,213686604221.25,1740525.0,-71325.0,BANKNIFTY,FUTIDX,2021,,
2021-02-04,2021-02-25,34551.05,35488.0,34343.55,35352.05,35342.45,35352.05,6119800,25,213686604221.25,1740525.0,-71325.0,BANKNIFTY,FUTIDX,2021,,
2021-02-03,2021-02-25,34675.0,34998.9,34097.5,34841.75,34799.0,34841.75,5535750,25,192016244651.25,1811850.0,172425.0,BANKNIFTY,FUTIDX,2021,,
2021-02-02,2021-02-25,33610.0,34740.5,33601.0,34392.7,34439.0,34392.7,9047050,25,309712393830.0,1639425.0,-220900.0,BANKNIFTY,FUTIDX,2021,,
2021-02-01,2021-02-25,30994.85,33484.95,30942.5,33276.3,33415.65,33276.3,10476675,25,336461592705.0,1860325.0,173475.0,BANKNIFTY,FUTIDX,2021,,
2021-02-01,2021-02-25,30994.85,33484.95,30942.5,33276.3,33415.65,33276.3,10476675,25,336461592705.0,1860325.0,173475.0,BANKNIFTY,FUTIDX,2021,,
2021-01-29,2021-02-25,30639.5,31238.0,30291.2,30679.15,30729.5,30679.15,7121575,25,218500007611.25,1686850.0,-41700.0,BANKNIFTY,FUTIDX,2021,,
