DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2020-01-30,2020-01-30,31280.0,31280.0,30513.45,30663.75,30646.05,30647.4,2957880,20,90624098554.0,752360.0,-354300.0,BANKNIFTY,FUTIDX,2020,,
2020-01-29,2020-01-30,30960.0,31109.05,30866.0,30905.55,30905.0,30905.55,3042600,20,94301772033.0,1106660.0,-129760.0,BANKNIFTY,FUTIDX,2020,,
2020-01-28,2020-01-30,30929.95,31070.0,30675.15,30771.6,30801.0,30771.6,3528240,20,109008486353.0,1236420.0,-91460.0,BANKNIFTY,FUTIDX,2020,,
2020-01-27,2020-01-30,31050.1,31239.9,30850.0,30879.05,30850.0,30879.05,3382040,20,104952349627.0,1327880.0,22340.0,BANKNIFTY,FUTIDX,2020,,
2020-01-24,2020-01-30,31100.55,31438.0,30924.0,31330.35,31329.7,31330.35,3276440,20,102397600275.0,1305540.0,-54740.0,BANKNIFTY,FUTIDX,2020,,
2020-01-23,2020-01-30,30800.0,31170.0,30680.0,31090.1,31117.05,31090.1,3735320,20,115685922341.0,1360280.0,-216300.0,BANKNIFTY,FUTIDX,2020,,
2020-01-22,2020-01-30,31150.0,31230.0,30705.0,30802.85,30818.0,30802.85,3381000,20,104493705844.0,1576580.0,127700.0,BANKNIFTY,FUTIDX,2020,,
2020-01-21,2020-01-30,31049.9,31200.0,30920.95,31042.8,31055.0,31042.8,3272420,20,101598488335.0,1448880.0,34520.0,BANKNIFTY,FUTIDX,2020,,
2020-01-20,2020-01-30,31997.65,31997.65,31126.1,31181.85,31186.0,31181.85,3655540,20,114797773523.0,1414360.0,209960.0,BANKNIFTY,FUTIDX,2020,,
2020-01-17,2020-01-30,31660.25,31874.3,31540.0,31723.75,31695.0,31723.75,2926680,20,92873756709.0,1204400.0,-2240.0,BANKNIFTY,FUTIDX,2020,,
2020-01-16,2020-01-30,31900.0,32054.05,31744.95,31935.7,31935.0,31935.7,2877980,20,91867113721.0,1206640.0,-53800.0,BANKNIFTY,FUTIDX,2020,,
2020-01-15,2020-01-30,32089.0,32105.5,31765.8,31943.85,31950.0,31943.85,2986060,20,95180837412.0,1260440.0,-16040.0,BANKNIFTY,FUTIDX,2020,,
2020-01-14,2020-01-30,32240.0,32260.0,32031.8,32169.05,32168.95,32169.05,2612240,20,83956725434.0,1276480.0,-41040.0,BANKNIFTY,FUTIDX,2020,,
2020-01-13,2020-01-30,32159.65,32380.0,32123.75,32242.25,32250.0,32242.25,2433820,20,78503676287.0,1317520.0,-83760.0,BANKNIFTY,FUTIDX,2020,,
2020-01-10,2020-01-30,32263.95,32384.95,31980.0,32122.75,32112.05,32122.75,3570880,20,114990641996.0,1401280.0,-160880.0,BANKNIFTY,FUTIDX,2020,,
2020-01-09,2020-01-30,31801.0,32200.0,31760.15,32152.65,32149.75,32152.65,3858040,20,123554368325.0,1562160.0,-94720.0,BANKNIFTY,FUTIDX,2020,,
2020-01-08,2020-01-30,31185.0,31541.2,30971.8,31444.05,31426.05,31444.05,4556800,20,142430447563.0,1656880.0,217240.0,BANKNIFTY,FUTIDX,2020,,
2020-01-07,2020-01-30,31551.1,31915.8,31200.0,31492.8,31500.0,31492.8,4759280,20,150365882916.0,1439640.0,66420.0,BANKNIFTY,FUTIDX,2020,,
2020-01-06,2020-01-30,32000.0,32023.85,31286.0,31362.05,31350.0,31362.05,3958760,20,124845925403.0,1373220.0,124040.0,BANKNIFTY,FUTIDX,2020,,
2020-01-03,2020-01-30,32445.5,32489.05,32060.2,32161.2,32177.4,32161.2,3218920,20,103713975816.0,1249180.0,-43200.0,BANKNIFTY,FUTIDX,2020,,
2020-01-02,2020-01-30,32299.0,32606.05,32281.55,32579.15,32575.3,32579.15,2657540,20,86220299566.0,1292380.0,-7300.0,BANKNIFTY,FUTIDX,2020,,
2020-01-01,2020-01-30,32417.3,32495.75,32225.0,32285.2,32300.0,32285.2,1919980,20,62059555086.0,1299680.0,-5300.0,BANKNIFTY,FUTIDX,2020,,
2019-12-31,2020-01-30,32478.7,32521.9,32320.0,32366.05,32376.55,32366.05,2331920,20,75563563740.0,1304980.0,-82220.0,BANKNIFTY,FUTIDX,2020,,
2020-02-27,2020-02-27,30265.0,30265.0,29951.15,30183.45,30186.5,30187.0,3170020,20,95333997003.0,344960.0,-266760.0,BANKNIFTY,FUTIDX,2020,,
2020-02-26,2020-02-27,30230.0,30517.1,30125.5,30315.5,30377.0,30315.5,3093660,20,93736795243.0,611720.0,-252840.0,BANKNIFTY,FUTIDX,2020,,
2020-02-25,2020-02-27,30500.05,30633.35,30351.5,30467.9,30509.2,30467.9,2926440,20,89222740782.0,864560.0,-172800.0,BANKNIFTY,FUTIDX,2020,,
2020-02-24,2020-02-27,30615.0,30688.8,30393.35,30423.0,30447.8,30423.0,3124800,20,95357986484.0,1037360.0,-16140.0,BANKNIFTY,FUTIDX,2020,,
2020-02-20,2020-02-27,30784.0,31098.4,30698.6,30938.7,30938.65,30938.7,3124380,20,96706678689.0,1053500.0,-15540.0,BANKNIFTY,FUTIDX,2020,,
2020-02-19,2020-02-27,30875.0,30940.0,30652.0,30856.4,30862.45,30856.4,2785900,20,85810976687.0,1069040.0,-47540.0,BANKNIFTY,FUTIDX,2020,,
2020-02-18,2020-02-27,30655.85,30707.15,30282.55,30581.4,30625.0,30581.4,3223260,20,98192596924.0,1116580.0,-19780.0,BANKNIFTY,FUTIDX,2020,,
2020-02-17,2020-02-27,30894.25,31014.9,30640.0,30776.35,30816.95,30776.35,2580500,20,79466085842.0,1136360.0,-133180.0,BANKNIFTY,FUTIDX,2020,,
2020-02-14,2020-02-27,31280.0,31470.85,30774.5,30902.1,30899.3,30902.1,4041500,20,125573183324.0,1269540.0,-10680.0,BANKNIFTY,FUTIDX,2020,,
2020-02-13,2020-02-27,31565.1,31626.7,31188.85,31231.35,31202.05,31231.35,2436460,20,76289301815.0,1280220.0,74840.0,BANKNIFTY,FUTIDX,2020,,
2020-02-12,2020-02-27,31516.5,31619.8,31458.4,31566.9,31563.0,31566.9,2218500,20,70004449048.0,1205380.0,-4100.0,BANKNIFTY,FUTIDX,2020,,
2020-02-11,2020-02-27,31271.5,31516.4,31265.0,31383.3,31380.0,31383.3,2493380,20,78350196463.0,1209480.0,96560.0,BANKNIFTY,FUTIDX,2020,,
2020-02-10,2020-02-27,31215.2,31259.85,31003.9,31109.85,31132.75,31109.85,2248900,20,69907482936.0,1112920.0,-44660.0,BANKNIFTY,FUTIDX,2020,,
2020-02-07,2020-02-27,31339.9,31363.85,31110.05,31240.4,31228.0,31240.4,2826520,20,88235967878.0,1157580.0,36160.0,BANKNIFTY,FUTIDX,2020,,
2020-02-06,2020-02-27,31200.0,31530.9,30956.65,31332.85,31280.0,31332.85,4334360,20,135457859098.0,1121420.0,64100.0,BANKNIFTY,FUTIDX,2020,,
2020-02-05,2020-02-27,30760.05,31116.6,30631.2,31050.35,31060.0,31050.35,3674400,20,113448685543.0,1057320.0,37780.0,BANKNIFTY,FUTIDX,2020,,
2020-02-04,2020-02-27,30300.0,30798.8,30191.05,30718.45,30705.0,30718.45,4395980,20,134397636411.0,1019540.0,-327700.0,BANKNIFTY,FUTIDX,2020,,
2020-02-03,2020-02-27,29729.9,30110.0,29530.0,30032.15,30060.0,30032.15,4187100,20,125306722372.0,1347240.0,-59660.0,BANKNIFTY,FUTIDX,2020,,
2020-02-01,2020-02-27,30794.95,30990.0,29770.0,29873.4,29782.55,29873.4,5831720,20,177464457837.0,1406900.0,353040.0,BANKNIFTY,FUTIDX,2020,,
2020-01-31,2020-02-27,30940.0,31125.7,30780.5,30937.3,30917.0,30937.3,4197560,20,129982353610.0,1053860.0,-154760.0,BANKNIFTY,FUTIDX,2020,,
