DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2023-02-23,2023-02-23,17575.0,17628.7,17461.15,17512.05,17511.9,17511.25,8462350,50,148587080167.5,4170150.0,-1709950.0,NIFTY,FUTIDX,2023,,
2023-02-22,2023-02-23,17790.0,17794.95,17532.55,17566.9,17566.0,17566.9,7570550,50,133582351505.0,5880100.0,-1070600.0,NIFTY,FUTIDX,2023,,
2023-02-21,2023-02-23,17883.6,17932.0,17801.0,17840.1,17851.0,17840.1,7472250,50,133508832405.0,6950700.0,-1451200.0,NIFTY,FUTIDX,2023,,
2023-02-20,2023-02-23,17965.75,18014.7,17835.6,17862.65,17867.0,17862.65,6978400,50,125026188605.0,8401900.0,-749450.0,NIFTY,FUTIDX,2023,,
2023-02-17,2023-02-23,17986.2,18045.0,17893.55,17951.0,17954.1,17951.0,7302450,50,131180815770.0,9151350.0,-61500.0,NIFTY,FUTIDX,2023,,
2023-02-16,2023-02-23,18090.0,18150.0,18047.8,18062.85,18057.35,18062.85,6121150,50,110809533360.0,9212850.0,-309550.0,NIFTY,FUTIDX,2023,,
2023-02-15,2023-02-23,17899.8,18049.0,17872.35,18035.15,18040.0,18035.15,6521700,50,117116180920.0,9522400.0,7900.0,NIFTY,FUTIDX,2023,,
2023-02-14,2023-02-23,17830.0,17969.9,17812.85,17945.15,17942.0,17945.15,7209550,50,129074589632.5,9514500.0,-1176700.0,NIFTY,FUTIDX,2023,,
2023-02-13,2023-02-23,17852.05,17900.5,17745.0,17801.85,17799.05,17801.85,6445150,50,114724091367.5,10696600.0,419100.0,NIFTY,FUTIDX,2023,,
2023-02-10,2023-02-23,17851.0,17899.9,17799.0,17877.1,17870.0,17877.1,6663300,50,119021089057.5,10277500.0,358250.0,NIFTY,FUTIDX,2023,,
